Run dir: /root/autodl-tmp/hwnas/results/backbone_nksid_av7k325_gpu_formal_structured_20260329_011516
Using device: cuda
Dataset: nksid
Image size: 224
Input channels: 1
Board: ALINX AV7K325 (XC7K325T-2FFG900I) @ 200MHz
[NKSID] 加载完成: 2097 张图片, 8 个类别
  折数: 0, 划分: train
[NKSID] 加载完成: 520 张图片, 8 个类别
  折数: 0, 划分: val
Backbone candidates: ['simplecnn', 'mobilenet_v2_pretrained', 'mobilenet_v2_scratch', 'fbnet_like', 'shufflenet_v2', 'efficientnet_b0']

=== Backbone: SimpleCNN (simplecnn) ===
Complexity: params=106,056, macs=122,913,408, cpu_latency=36.84ms, fpga_latency=7.27ms
Epoch 40/240: train_loss=0.0476, train_acc=0.9847, val_loss=0.1093, val_top1=0.9673, val_macro_f1=0.9340, lr=0.000950
Early stopping at epoch 40

=== Backbone: MobileNetV2 (scratch) (mobilenet_v2_scratch) ===
Complexity: params=2,233,544, macs=292,279,168, cpu_latency=90.20ms, fpga_latency=8.51ms
Hardware: DSP=256, BRAM=5, LUT=9862, power=7.63W, feasible=True
Epoch 1/240: train_loss=2.0558, train_acc=0.1984, val_loss=2.3401, val_top1=0.0346, val_macro_f1=0.0084, lr=0.000200
Epoch 2/240: train_loss=1.8071, train_acc=0.3429, val_loss=3.3379, val_top1=0.0346, val_macro_f1=0.0085, lr=0.000360
Epoch 3/240: train_loss=1.5805, train_acc=0.4368, val_loss=1.4930, val_top1=0.4827, val_macro_f1=0.3129, lr=0.000520
Epoch 4/240: train_loss=1.4287, train_acc=0.4931, val_loss=1.1687, val_top1=0.5365, val_macro_f1=0.4103, lr=0.000680
Epoch 5/240: train_loss=1.4371, train_acc=0.5079, val_loss=1.4488, val_top1=0.5500, val_macro_f1=0.3408, lr=0.000840
Epoch 6/240: train_loss=1.2656, train_acc=0.5489, val_loss=1.0321, val_top1=0.5865, val_macro_f1=0.4376, lr=0.001000
Epoch 7/240: train_loss=1.1280, train_acc=0.5966, val_loss=1.5825, val_top1=0.4808, val_macro_f1=0.3516, lr=0.001000
Epoch 8/240: train_loss=1.1040, train_acc=0.6290, val_loss=0.8089, val_top1=0.6712, val_macro_f1=0.5331, lr=0.001000
Epoch 9/240: train_loss=0.9530, train_acc=0.6629, val_loss=0.9782, val_top1=0.7500, val_macro_f1=0.4816, lr=0.001000
Epoch 10/240: train_loss=0.8896, train_acc=0.6824, val_loss=0.7890, val_top1=0.7250, val_macro_f1=0.4646, lr=0.000999
Epoch 11/240: train_loss=0.8784, train_acc=0.7186, val_loss=0.8167, val_top1=0.7385, val_macro_f1=0.5816, lr=0.000999
Epoch 12/240: train_loss=0.8470, train_acc=0.7406, val_loss=1.5690, val_top1=0.5000, val_macro_f1=0.3789, lr=0.000998
Epoch 13/240: train_loss=0.9294, train_acc=0.6886, val_loss=1.0205, val_top1=0.6519, val_macro_f1=0.5060, lr=0.000998
Epoch 14/240: train_loss=0.9048, train_acc=0.7120, val_loss=0.4592, val_top1=0.8750, val_macro_f1=0.6979, lr=0.000997
Epoch 15/240: train_loss=0.7059, train_acc=0.7792, val_loss=0.5503, val_top1=0.7904, val_macro_f1=0.6164, lr=0.000996
Epoch 16/240: train_loss=0.7080, train_acc=0.7649, val_loss=0.5343, val_top1=0.8365, val_macro_f1=0.6702, lr=0.000996
Epoch 17/240: train_loss=0.7322, train_acc=0.7773, val_loss=0.3707, val_top1=0.8981, val_macro_f1=0.7888, lr=0.000995
Epoch 18/240: train_loss=0.6466, train_acc=0.8083, val_loss=0.5625, val_top1=0.8269, val_macro_f1=0.7053, lr=0.000994
Epoch 19/240: train_loss=0.6799, train_acc=0.7845, val_loss=0.4013, val_top1=0.8481, val_macro_f1=0.7201, lr=0.000993
Epoch 20/240: train_loss=0.6172, train_acc=0.8059, val_loss=0.4033, val_top1=0.8404, val_macro_f1=0.7366, lr=0.000991
Epoch 21/240: train_loss=0.5948, train_acc=0.8097, val_loss=0.3905, val_top1=0.8904, val_macro_f1=0.7651, lr=0.000990
Epoch 22/240: train_loss=0.5855, train_acc=0.8193, val_loss=0.3608, val_top1=0.8558, val_macro_f1=0.7539, lr=0.000989
Epoch 23/240: train_loss=0.5262, train_acc=0.8431, val_loss=0.4236, val_top1=0.8231, val_macro_f1=0.6925, lr=0.000987
Epoch 24/240: train_loss=0.5920, train_acc=0.8231, val_loss=0.4734, val_top1=0.8346, val_macro_f1=0.7239, lr=0.000986
Epoch 25/240: train_loss=0.5468, train_acc=0.8350, val_loss=0.4672, val_top1=0.8327, val_macro_f1=0.7182, lr=0.000984
Epoch 26/240: train_loss=0.5779, train_acc=0.8183, val_loss=0.6507, val_top1=0.7750, val_macro_f1=0.6568, lr=0.000982
Epoch 27/240: train_loss=0.5263, train_acc=0.8493, val_loss=0.3356, val_top1=0.9077, val_macro_f1=0.7996, lr=0.000981
Epoch 28/240: train_loss=0.4376, train_acc=0.8712, val_loss=0.2367, val_top1=0.9327, val_macro_f1=0.8622, lr=0.000979
Epoch 29/240: train_loss=0.3827, train_acc=0.8884, val_loss=0.3871, val_top1=0.8654, val_macro_f1=0.7577, lr=0.000977
Epoch 30/240: train_loss=0.4723, train_acc=0.8574, val_loss=0.3223, val_top1=0.8962, val_macro_f1=0.8249, lr=0.000975
Epoch 31/240: train_loss=0.4305, train_acc=0.8708, val_loss=0.3605, val_top1=0.8808, val_macro_f1=0.7462, lr=0.000973
Epoch 32/240: train_loss=0.4096, train_acc=0.8703, val_loss=0.3281, val_top1=0.9077, val_macro_f1=0.8537, lr=0.000970
Epoch 33/240: train_loss=0.3388, train_acc=0.8898, val_loss=0.2697, val_top1=0.9038, val_macro_f1=0.8202, lr=0.000968
Epoch 34/240: train_loss=0.4324, train_acc=0.8841, val_loss=0.9451, val_top1=0.7192, val_macro_f1=0.6260, lr=0.000966
Epoch 35/240: train_loss=0.5402, train_acc=0.8326, val_loss=0.5099, val_top1=0.8288, val_macro_f1=0.7143, lr=0.000963
Epoch 36/240: train_loss=0.4364, train_acc=0.8674, val_loss=0.3017, val_top1=0.8808, val_macro_f1=0.7825, lr=0.000961
Epoch 37/240: train_loss=0.3758, train_acc=0.8865, val_loss=0.2407, val_top1=0.9154, val_macro_f1=0.8378, lr=0.000958
Epoch 38/240: train_loss=0.4030, train_acc=0.8908, val_loss=0.2973, val_top1=0.9058, val_macro_f1=0.7854, lr=0.000955
Epoch 39/240: train_loss=0.3344, train_acc=0.8975, val_loss=0.1846, val_top1=0.9308, val_macro_f1=0.8737, lr=0.000953
Epoch 40/240: train_loss=0.2964, train_acc=0.9103, val_loss=0.3030, val_top1=0.8885, val_macro_f1=0.7746, lr=0.000950
Epoch 41/240: train_loss=0.3327, train_acc=0.9061, val_loss=0.1841, val_top1=0.9442, val_macro_f1=0.8925, lr=0.000947
Epoch 42/240: train_loss=0.2885, train_acc=0.9151, val_loss=0.2080, val_top1=0.9442, val_macro_f1=0.8889, lr=0.000944
Epoch 43/240: train_loss=0.2638, train_acc=0.9285, val_loss=0.2037, val_top1=0.9481, val_macro_f1=0.8889, lr=0.000941
